Topic,Question,Answer
Advertisement,Is there an advertisement that made an impression on you when you were a child?,"Well, the one that really sticks in my mind is this old cereal ad from the 90s with a cartoon tiger bouncing around, you know, claiming it ""puts the grrreat in your morning."" It was everywhere on TV, and as a kid, the catchy jingle and vibrant colors tugged at my heartstrings. As a result, it made me beg my parents for that sugary stuff whenever we went to the supermarket . Looking back, it was pure marketing genius preying on children's impulses!"
Advertisement,Do you see a lot of advertising on trains or other transport?,"Actually, yeah, public transport is basically a moving billboard these days, especially on trains where posters line the walls and digital screens flash promotions non-stop. It makes sense because commuters are an audience with nothing much to do, so brands bombard you with everything from phone deals to fast food, turning a train ride into a sales pitch. In the end, it does help pass the time, but I'd rather stare out the window for a breather from the constant hustle."
Advertisement,Do you like advertisements?,"It depends, but overall, I'm not a huge fan because most feel like they're interrupting my flow rather than adding value, you know, popping up at the worst moments. That said, the clever ones that tell a mini-story or crack a joke can be entertaining and even memorable, like those Super Bowl spots that go viral. Ultimately, I appreciate creativity in ads, but I'd be happier with fewer of them cluttering my daily life."
Advertisement,What kind of advertising do you like?,"The first thing that comes to mind is humorous or storytelling ads, for example, those quirky ones from Thailand that turn everyday scenarios into absurd comedies. They stand out because they don't just push a product; they evoke emotions or laughter, making the message stick without feeling forced, unlike the repetitive slogans that sound like a broken record. Personally, I think this approach respects the viewer's intelligence and turns advertising into genuine entertainment."
Crowded Places.,Is the city where you live crowded?,"Oh, absolutely—Ho Chi Minh City is super crowded! Over 9 million people, millions of motorbikes, and everyone trying to go somewhere at once. Rush hour on streets like Nguyễn Huệ or Phạm Ngọc Thạch feels like a river of helmets. Even at night, District 1 is packed with people eating, shopping, or just walking. It’s chaotic, but that’s the Saigon energy!"
Crowded Places.,Is there a crowded place near where you live?,"Yes, I live in District 3, and just 10 minutes away is Turtle Lake—it’s always packed, especially in the evenings. Hundreds of young people sit on the steps eating fish balls, drinking milk tea, and taking photos. Weekends are insane; you can barely find a spot to sit. Ben Thanh Market and Saigon Notre-Dame area are also super close and constantly buzzing."
Crowded Places.,Do you like crowded places?,"I like them sometimes, but not all the time. The energy at Turtle Lake or Nguyen Hue Walking Street on weekends is fun—live music, street food, everyone laughing—it feels alive. But after 30 minutes, the noise and heat make me want to escape to a quiet café. I enjoy the crowd in small doses, then I need my balcony peace."
Crowded Places.,Do most people like crowded places?,"In Saigon, yes—most young people love crowded places! Teens and 20-somethings flock to Turtle Lake, Bùi Viện walking street, or Landmark 81 just to feel the buzz. It’s where trends start, photos get taken, and you bump into friends. Older people usually avoid them—they prefer quieter parks or local coffee shops. So it’s really an age thing: the younger you are, the more you’re drawn to the crowd."
Chatting,Do you like chatting with friends?,"Oh, I love chatting with friends—it’s honestly one of my favorite pastime! Whether it’s laughing until my stomach hurts or having deep late-night talks, those moments make life so much richer. A day without a good chat feels incomplete."
Chatting,What do you usually chat about with friends?,"Everything under the sun! The most common topics are food (such as new bánh mì spots, viral cafés, or just a simple “where are we eating tonight?”) and university drama (you know, the usual assignments, crushes, annoying lecturers). Every once in a while, we would talk about our future dreams, which career path to take, where should we travel to in ten years' time. Basically, no topic is off-limits—we can turn a 5-minute coffee break into a 2-hour therapy session."
Chatting,Do you prefer to chat with a group of people or with only one friend?,"It depends on my mood, really! Group chats  are perfect for chaos, laughter, and planning hangouts. Karaoke nights or food crawls wouldn’t be the same without the whole squad. On the other hand, one-on-one is my go-to for deep talks, venting about stress, or when I just want real connection without distractions. I’d say 60% group for fun, 40% one-on-one for heart-to-hearts."
Chatting,Do you prefer to communicate face-to-face or via social media?,"Face-to-face, hands down! Nothing beats seeing their expressions, hearing the laughter, and sharing actual food. Zalo or Instagram is great for quick memes, “you free tonight?” texts, or when someone’s busy, but it can never replace sitting by a lake, stealing fries off each other’s plates while gossiping. In Saigon, where everyone’s always moving, those in-person moments feel extra precious."
Friends,How important are friends to you?,"Friends are absolutely everything to me—they’re like my chosen family! In Ho Chi Minh City’s crazy pace, they’re the ones who keep me sane, make me laugh, and turn ordinary days into memories. Whether it’s celebrating a good grade or crying over a bad one, they’re there. Honestly, I don’t know how I’d survive Saigon without them."
Friends,Do you often go out with your friends?,"Yes, pretty often—usually 2–3 times a week. Weekdays it’s quick coffee or street food after class, and weekends we go bigger: food crawls in District 4, karaoke in District 1, or just chilling at Turtle Lake. Even when I’m busy with studies and part-time work, I make time because those hangouts recharge me."
Friends,What do you usually do with your friends?,"We’re food-obsessed, so we hunt for new bánh tráng nướng stalls, share giant hotpots, or try viral bubble-tea spots. More often than not, I often find my self sitting on someone’s balcony gossiping while eating mango with chili salt. The best part about it is that it allows us to bond on a budget. Now that I think about it, whenever we hang out together, it’s never fancy—just good company and good eats."
Friends,Do you have a friend you have known for a long time?,"Yep, my best friend Linh—I’ve known her since we were 6, back in primary school in District 3. We survived bad haircuts, first crushes, and endless homework together. Even now, with different universities, we still meet every week. She knows all my embarrassing stories and still loves me—that’s real friendship."
Sharing,Did your parents teach you to share when you were a child?,"Oh, yes, my parents definitely drilled sharing into me growing up in Ho Chi Minh City! From a young age, they’d have me pass around snacks or fruit with my siblings and cousins during family gatherings, saying it fosters harmony. It wasn’t always easy, sharing my favorite toy was a battle, but they’d remind me how happy it made others, especially during Tết when we’d share everything from food to red envelopes. Honestly, it stuck with me and shaped how I treat people now."
Sharing,What kind of things do you like to share with others?,"I love sharing food, knowledge, and good vibes with others—it just feels right! More often than not, I’ll split a plate of spring rolls with friends at a street stall, or go Dutch on film tickets at the weekend. I also enjoy sharing my notes from business classes with classmates or recommending a cool Instagram reel. For me, it’s about spreading joy, whether it’s a tasty bite or a helpful hack that makes someone’s day better."
Sharing,What kind of things are not suitable for sharing?,"Some things are just too personal or risky to share, like passwords, bank details, or private messages. Those are off-limits to avoid trouble, especially in a connected city like Saigon where scams pop up. I also wouldn’t share someone else’s secrets without permission; trust is sacred, you know? Personal items like toothbrushes or underwear are a hard no for hygiene, and lending big money can strain relationships if it goes wrong. Basically, anything that could compromise safety, privacy, or health stays private."
Sharing,Do you have anything to share with others recently?,"Yeah, just last week I shared a killer recipe for homemade phở with my roommate. She was craving it, so I showed her how to simmer the broth with star anise and ginger, and we cooked it together. I also passed on some marketing project tips to a classmate struggling with a presentation, pulling from my part-time job experience. Oh, and I shared my umbrella with a stranger caught in a sudden Saigon downpour near Ben Thanh Market—small gesture, but it felt good! Honestly, little shares like that keep the good energy flowing."
